district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Ora,Houston,female,african-american,,2015-01-06,2019-01-06,councilor,nonpartisan,ora.houston@austintexas.gov,512-978-2101,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/oraatx1,https://www.facebook.com/oraatx1/,http://www.austintexas.gov/sites/default/files/files/Council/Houston/OraHouston_portrait_1b_web.jpg
2,no,Delia,Garza,female,hispanic-american,,2015-01-06,2021-01-06,councilor,nonpartisan,delia.garza@austintexas.gov,512-978-2102,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/DGarzaforD2,https://www.facebook.com/deliagarzadistrict2,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/garza_new2.jpg
3,no,Sabino,Renteria,male,hispanic-american,,2015-01-06,2019-01-06,councilor,nonpartisan,sabino.renteria@austintexas.gov,512-978-2103,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/CM_Renteria,https://www.facebook.com/sabino.p.renteria,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/renteria_new2.jpg
4,no,Gregorio ,Casar,male,hispanic-american,,2017-01-06,2021-01-06,councilor,nonpartisan,gregorio.casar@austintexas.gov,512-978-2104,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/GregCasar,https://www.facebook.com/GregorioCasar,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/cesar_new2.jpg
5,no,Ann,Kitchen,female,white-american,,2015-01-06,2019-01-06,councilor,nonpartisan,ann.kitchen@austintexas.gov,512-978-2105,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/D5Kitchen,https://www.facebook.com/Ann-Kitchen-District-5-329057273959128/,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/kitchen_new.jpg
6,no,Jimmy,Flannigan,male,white-american,,2017-01-06,2021-01-06,councilor,nonpartisan,jimmy.flannigan@austintexas.gov,512-978-2106,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/JimmyFlannigan,https://www.facebook.com/FlanniganForAustin,http://www.austintexas.gov/sites/default/files/files/Jimmy-Flannigan-.jpg
7,no,Leslie,Pool,female,white-american,,2015-01-06,2021-01-06,councilor,democrat,leslie.pool@austintexas.gov,512-978-2107,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/LesliePoolATX,https://www.facebook.com/leslie.pool.7,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/pool_new.jpg
8,no,Ellen,Troxclair,female,white-american,,2015-01-06,2019-01-06,councilor,nonpartisan,ellen.troxclair@austintexas.gov,512-978-2108,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/EllenforAustin,https://www.facebook.com/EllenTroxclair,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/troxclair_new.jpg
9,no,Kathie ,Tovo,female,white-american,,2015-01-06,2019-01-06,councilor,nonpartisan,Kathie.tovo@austintexas.gov,512-978-2109,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/kathietovo,https://www.facebook.com/ktovo/,http://www.austintexas.gov/sites/default/files/files/Council/new_gov_portal/tovo_new.jpg
10,no,Alison,Alter,female,white-american,,2017-01-06,2021-01-06,councilor,nonpartisan,alison.alter@austintexas.gov,512-978-2110,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/Alison_Alter,https://www.facebook.com/alison.alter,http://www.austintexas.gov/sites/default/files/files/Alison-Alter-.jpg
,no,Steve,Adler,male,white-american,1956-03-23,2015-01-06,2019-01-06,mayor,democrat,steve.adler@austintexas.gov,512-978-2100,"P.O. Box 1088, Austin, TX 78767",https://twitter.com/MayorAdler,https://www.facebook.com/austinmayoradler/,http://www.austintexas.gov/sites/default/files/files/Council/Mayor/SteveAdler_portrait_1a_WEBONLY.jpg
,no,Margaret,Moore,female,white-american,,2017-01-06,2021-01-06,district-attorney,democrat,,512-854-9400,"P.O. BOX 1748, Austin, TX 78767",,,https://www.traviscountytx.gov/images/district_attorney/margarte-moore.jpg
